instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,budget,error
C103,GLS,1,"(0.85, 1.0, 1.18)",10,1665.9517836535133,506.0276711867335,1315.671945085507,0.30374688880670375,64.51632046194234,25.432063868398874,10.051615669658755,0.4237400802204179,3.0925791263580322,24,3.0,
C103,GLS,3,"(0.85, 1.0, 1.18)",10,1396.6788759721321,396.3487253618788,1030.5066859408848,0.2837794228727113,67.20893664259314,32.433071260152545,0.35799209725426995,0.3913815721994162,3.085850238800049,37,3.0,
C103,IGLS,1,"(0.85, 1.0, 1.18)",10,1507.6274527562123,449.7966491582657,1169.4712878114908,0.29834734591490564,76.64053543160182,17.25563618637489,6.10382838202327,0.4372538115301471,3.0766758918762207,36,3.0,
C103,GLS,2,"(0.85, 1.0, 1.18)",11,1656.2559750239277,448.2887054092172,1165.5506340639647,0.27066390230093557,84.45938898454025,15.540611015459753,0.0,0.3692044688278659,3.194397449493408,39,3.0,
C103,IGLS,2,"(0.85, 1.0, 1.18)",11,1330.6370663634857,376.94683148241404,980.0617618542765,0.2832829785153788,84.418351550467,15.58164844953302,0.0,0.41641701348394244,3.245967388153076,81,3.0,
C103,GLS,1,"(0.85, 1.0, 1.18)",10,1362.3460527734894,390.45404764767636,1015.1805238839586,0.28660416114744325,79.0310740054454,20.96892599455454,0.0,0.4171601047695057,8.109113216400146,79,8.0,
C103,GLS,2,"(0.85, 1.0, 1.18)",10,1186.0781426733029,326.3632889039108,848.5445511501681,0.27516170913353166,90.33768127740497,9.66231872259501,0.0,0.39824836340238334,8.093925714492798,127,8.0,
C103,GLS,3,"(0.85, 1.0, 1.18)",10,1126.2368051429773,314.28957149353494,817.1528858831908,0.2790617124731911,82.36831870721282,17.631681292787192,0.0,0.3954444661529796,8.107739925384521,97,8.0,
C103,IGLS,1,"(0.85, 1.0, 1.18)",10,1254.8038987531652,357.9108955583266,930.5683284516492,0.2852325338755836,76.31764489214633,23.682355107853635,0.0,0.4073991418870769,8.116257905960083,88,8.0,
C103,IGLS,3,"(0.85, 1.0, 1.18)",10,1362.3140966179085,379.65761023966286,987.1097866231235,0.27868581201809756,81.07777319165326,15.75560691302716,3.1666198953195863,0.3829436102311524,3.3358373641967773,39,3.0,
C103,IGLS,2,"(0.85, 1.0, 1.18)",10,1220.9331345224618,359.4432406383511,934.5524256597129,0.29440043068283056,74.77663998698814,25.223360013011877,0.0,0.43895272437254007,8.26188325881958,127,8.0,
