nv,dist,fuel,emis,runtime,iters,plow,pmed,phigh,lam,IF,algo,seed
36,490.78352766813185,135.60413672635005,352.57075548851014,60.01136612892151,9718,100.0,0.0,0.0,0.4168679231458468,0.27630132040219096,GLS,1
36,476.0605510603222,131.7655735582596,342.590491251475,60.00700569152832,9568,99.99999999999999,0.0,0.0,0.41875773637041686,0.27678322277445633,GLS,2
36,488.30793226973356,133.99964818484335,348.3990852805927,60.0184211730957,9083,100.0,0.0,0.0,0.40947562323756326,0.2744162839255785,GLS,3
36,498.5957334828329,137.78083530103797,358.23017178269873,60.010547161102295,8409,100.0,0.0,0.0,0.4170108798824655,0.27633777437002854,GLS,4
36,475.33201030683205,133.01242889864955,345.83231513648883,60.01842904090881,8828,100.0,0.0,0.0,0.4307081301480655,0.27983057318775684,GLS,5
36,492.1614727117526,136.22599633333346,354.187590466667,60.01202940940857,16412,100.0,0.0,0.0,0.41878927225631457,0.2767912644253603,IGLS,1
36,485.1738293645064,135.11329271978926,351.2945610714521,60.01884746551514,15988,100.0,0.0,0.0,0.4254286150915152,0.2784842968483363,IGLS,2
36,483.0967385827019,135.7883950629324,353.0498271636243,60.00700283050537,15986,100.0,0.0,0.0,0.43560430211064666,0.28107909703821493,IGLS,3
36,494.0931042599355,137.61670789333482,357.80344052267054,60.00885462760925,16113,100.0,0.0,0.0,0.42558367974511546,0.27852383833500455,IGLS,4
36,483.9778736744936,138.06194907655188,358.9610675990349,60.01023244857788,16083,100.0,0.0,0.0,0.45201961548242187,0.2852650019480177,IGLS,5
36,470.9687875995856,132.98008913996904,345.74823176391953,60.0161018371582,8716,100.0,0.0,0.0,0.44060532115411627,0.2823543568942997,RGLS,1
36,505.9344481033781,142.6824082043524,370.9742613313163,60.02005910873413,7318,100.0,0.0,0.0,0.43928462366534,0.2820175790346618,RGLS,2
36,477.53442769385845,134.23281191722015,349.0053109847724,60.01818799972534,8416,100.00000000000001,0.0,0.0,0.43566890007192494,0.28109556951834097,RGLS,3
36,504.8065522344827,141.97154092502143,369.1260064050557,60.020931243896484,9141,100.0,0.0,0.0,0.4362333222855877,0.28123949718282504,RGLS,4
36,476.60996975663727,133.78257766388134,347.8347019260915,60.02889895439148,7919,99.99999999999999,0.0,0.0,0.434102500487112,0.2806961376242136,RGLS,5
36,483.98565778085214,135.20919579020372,351.5439090545297,60.023457288742065,15743,100.0,0.0,0.0,0.42888674866579407,0.27936612090977747,HGLS,1
36,473.4515888838858,133.1395496667136,346.1628291334554,60.00798845291138,18978,100.0,0.0,0.0,0.43611953852227614,0.28121048232318036,HGLS,2
36,484.5470601424688,134.24291252828056,349.03157257352944,60.042248010635376,14338,99.99999999999999,0.0,0.0,0.41979703837317883,0.27704824478516044,HGLS,3
36,480.4445124823438,132.96904495693565,345.7195168880327,60.01917600631714,15978,100.0,0.0,0.0,0.41867663849680026,0.2767625428166842,HGLS,4
36,485.6744652005406,137.69972786749793,358.0192924554946,60.01070427894592,14356,100.0,0.0,0.0,0.4451869956228375,0.2835226838838235,HGLS,5
36,465.35058640384386,130.3104182401143,338.8070874242972,37.0061821937561,4000,100.0,0.0,0.0,0.43147581543385033,0.28002633293563184,ALNS,1
36,486.728427087892,133.2814126210816,346.5316728148122,46.63262104988098,4000,100.0,0.0,0.0,0.40718104238197755,0.27383116580740424,ALNS,2
36,466.1156384582645,129.9497220581497,337.8692773511892,47.82830047607422,4000,100.0,0.0,0.0,0.4266387518230498,0.2787928817148778,ALNS,3
36,480.40571442512936,132.16796213933705,343.63670156227636,46.993247747421265,4000,100.0,0.0,0.0,0.4122250249110998,0.2751173813523304,ALNS,4
36,485.05780561389497,132.88049754334338,345.4892936126928,47.471851110458374,4000,100.0,0.0,0.0,0.40763826015858523,0.2739477563404391,ALNS,5
