instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C101,GLS,2,"(0.85, 1.0, 1.18)",10,833.2427178513223,247.80736036091864,644.2991369383885,0.2974011714137003,65.60028575837988,34.39971424162014,0.0,0.428001593932215,30.16305899620056,222,
C101,RGLS,3,"(0.85, 1.0, 1.18)",10,854.350679594325,253.01005326532243,657.8261384898383,0.2961430935894617,63.17417175507249,36.82582824492753,0.0,0.41463905141213026,30.08327555656433,228,
C101,IGLS,4,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263416,29.604432787365823,0.0,0.4257939201055819,30.131272554397583,229,
C101,IGLS,5,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263419,29.60443278736583,0.0,0.425793920105582,30.136274099349976,214,
C101,GLS,1,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263418,29.60443278736582,0.0,0.42579392010558187,30.281683683395386,202,
C101,GLS,5,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263416,29.60443278736583,0.0,0.4257939201055819,30.185518980026245,193,
C101,GLS,4,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263418,29.604432787365823,0.0,0.4257939201055819,30.211517333984375,227,
C101,RGLS,4,"(0.85, 1.0, 1.18)",11,927.2736500216116,265.1482606425919,689.385477670739,0.28594391810487896,69.95555032594832,30.044449674051695,0.0,0.3927580053466515,30.121506214141846,251,
C101,IGLS,2,"(0.85, 1.0, 1.18)",10,828.936866942834,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263418,29.604432787365827,0.0,0.425793920105582,30.1817409992218,229,
C101,IGLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263419,29.604432787365823,0.0,0.42579392010558215,30.176233053207397,218,
C101,GLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263416,29.604432787365827,0.0,0.42579392010558187,30.322261095046997,255,
C101,IGLS,1,"(0.85, 1.0, 1.18)",10,828.936866942834,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263419,29.604432787365823,0.0,0.42579392010558204,30.276259183883667,215,
