instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C101,HGLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263416,29.604432787365827,0.0,0.42579392010558204,30.106930255889893,201,
C101,HGLS,3,"(0.93, 1.0, 1.09)",10,828.9368669428338,259.0926119691077,673.64079111968,0.3125601264721835,70.39556721263418,29.604432787365834,0.0,0.42579392010558204,30.246538877487183,217,
C101,HGLS,2,"(1.0, 1.0, 1.0)",10,828.936866942834,271.67425681725535,706.353067724864,0.3277381760316746,63.998352009717976,30.35830891523432,5.64333907504771,0.4257939201055819,30.4770827293396,219,
C108,GLS,1,"(0.93, 1.0, 1.09)",10,863.6971753299625,266.0587288595984,691.7526950349558,0.3080463112061871,87.26355843268867,12.736441567311322,0.0,0.4263836021483277,30.29677391052246,212,
C101,HGLS,3,"(0.75, 1.0, 1.3)",10,850.5697883876921,226.23881487384466,588.2209186719962,0.2659850114153412,78.39602778094235,21.603972219057663,0.0,0.41995771366874457,30.452860593795776,243,
C108,GLS,1,"(1.0, 1.0, 1.0)",10,913.8630741839128,296.5316127230062,770.9821930798162,0.3244814470568377,88.41374535680188,2.253210668388386,9.333043974809701,0.41493815685612556,30.47708296775818,210,
C108,GLS,1,"(0.75, 1.0, 1.3)",10,1127.6201709440038,285.38088886811977,741.9903110571114,0.25308246182684807,82.52706006752815,17.47293993247182,0.0,0.39836184494343746,30.29244065284729,245,
C108,GLS,1,"(0.85, 1.0, 1.18)",10,989.3674712523577,274.3003014295416,713.1807837168082,0.27724815035845857,95.588762276845,4.046807783801929,0.3644299393530719,0.409457623789805,30.51215696334839,220,
C108,GLS,2,"(1.0, 1.0, 1.0)",10,944.7860503188654,306.840855664898,797.7862247287349,0.3247728473143091,70.70047141887,6.1418938560466225,23.157634725083383,0.41590949104769703,30.1048321723938,220,
C108,GLS,3,"(1.0, 1.0, 1.0)",10,863.6971753299625,283.2193289007501,736.3702551419503,0.32791508064449837,87.49512107491172,4.471360768841246,8.033518156247016,0.42638360214832755,30.121161460876465,184,
C108,GLS,2,"(0.85, 1.0, 1.18)",10,1085.5971402329733,310.4888787219643,807.2710846771072,0.2860074582135802,81.66135368848036,12.635681143854363,5.702965167665238,0.4054454128904643,30.163760900497437,229,
C108,GLS,2,"(0.75, 1.0, 1.3)",10,945.9309612382401,242.6071196566799,630.7785111073678,0.2564744464427964,91.43528254785788,8.564717452142094,0.0,0.4369647296486007,30.22281527519226,222,
C108,GLS,2,"(0.93, 1.0, 1.09)",10,828.9368669428338,254.0773541099518,660.6011206858748,0.3065098974871313,92.18185641374657,7.818143586253409,0.0,0.42579392010558204,30.33933115005493,210,
C108,GLS,3,"(0.93, 1.0, 1.09)",10,828.9368669428338,254.07735410995178,660.6011206858747,0.3065098974871313,92.18185641374659,7.818143586253409,0.0,0.425793920105582,30.294870376586914,205,
C108,GLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,233.96660815874782,608.3131812127443,0.282249007721939,92.1818564137466,7.8181435862534086,0.0,0.4257939201055818,30.334874391555786,210,
C108,HGLS,1,"(0.93, 1.0, 1.09)",10,863.6971753299626,266.0587288595984,691.7526950349558,0.30804631120618703,87.26355843268867,12.736441567311322,0.0,0.4263836021483277,30.130120992660522,244,
C108,GLS,3,"(0.75, 1.0, 1.3)",10,945.2953281090794,236.01054239643963,613.6274102307431,0.24966858015530777,88.10592186809669,11.89407813190331,0.0,0.3970586758777812,30.248637914657593,245,
